location_key,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,date,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
PA,4314768,2159880,2154888,1356355,2890084,1821693,58.041,0.78,773779,726609,678255,618595,556395,432979,282632,157808,87716,2021-08-01,237806,1543487,89502,767685,327308,2311172
PE,29381884,14450757,14931127,7120114,25390339,10554712,25.759,0.75,5140624,5035905,4895056,4379777,3660378,2772568,1846407,1078066,573103,2021-08-01,52922,8255602,157128,5592626,210050,13848228
PK,220892331,113672007,107220324,136637556,79927762,15741406,286.546,0.562,53462232,45427436,39930362,30816023,21248747,15122613,8902414,4558929,1423575,2021-08-01,750562,24086196,0,NA,942128,30590183
PL,37972812,18380376,19592436,15174300,22796574,1775933,123.6,0.843,3911198,3732338,4691826,6081901,5375618,4720992,5153192,2645371,1660376,2021-08-01,24999,18374146,7934,16167780,32933,34541982
PY,7132530,3624360,3508170,2685486,4359150,3279160,17.953,0.702,1383911,1336278,1321043,1109126,727638,548364,402162,213725,90283,2021-08-01,11,2277833,20,339033,31,2616866
RO,19414458,9500450,9914008,8887751,10468793,1812290,83.1,0.811,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,906398,2021-08-01,4540,5005992,5063,4869906,7330,9420877
RU,145934460,67640299,78294161,36689646,107683889,12476171,8.911,0.816,18622607,15256037,15607785,24468555,20375317,18897666,18501369,8549718,5655406,2021-08-01,137489,36759116,186042,25466493,323531,62225609
SA,34813867,20131308,14682559,5460690,28807838,7070665,16.195,0.853,5956216,4860281,5354760,6980363,6408789,3216572,1373521,493856,169509,2021-08-01,192710,18979146,262351,8343671,455061,27322817
SD,43849269,21907295,21941974,27856005,14957233,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,2021-08-01,8475,636308,0,NA,8475,819035
SE,10230185,5142438,5087747,1264288,9021165,1608037,25,0.907,1223971,1155271,1338915,1330260,1294175,1286816,1114377,964267,522133,2021-08-01,139824,6394139,259782,4276773,399815,10789380
SG,5850343,3062257,2788086,0,5703569,5868104,8357.633,0.932,479037,505794,833058,896615,964873,946222,799325,289634,135785,2021-08-01,6002,4316244,54785,3197961,60787,7514205
TH,69799978,33966060,35833918,34330982,35294600,10350204,136.624,0.755,7439832,8492311,9630308,9229727,10914257,10681394,7624356,3866568,1921225,2021-08-01,152171,13955087,28381,3911439,180552,17866526
TR,82003882,41139980,40863902,20331797,63097818,14967667,106.2,0.82,12843906,12764690,12823598,12909225,11156733,8873665,6058068,3119472,1454525,2021-08-01,50119,41062834,117189,27472822,220392,73493059
UA,43733759,20263148,23470611,13549456,30835699,2973335,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,2021-08-01,27722,3599167,10358,2034113,38080,5632783
US,331002647,163786016,167216631,57576495,270663028,18804722,36.185,0.92,39721484,42332395,46094075,44668270,40348397,42120077,38488170,24082597,13147182,2021-08-01,227904,193180383,310459,164757423,332161,355689898
UY,3473727,1678336,1795391,158340,3303394,1744700,19.848,0.804,473070,478929,511560,461146,455020,391077,327921,220266,154738,2021-08-01,10,2576743,25,2243968,35,4820711
VN,97338583,48598254,48740329,61129966,35332140,8371428,313.925,0.694,15478572,13599043,15389496,16200924,13572962,11109968,7342687,2778472,1866459,2021-08-01,172900,5756155,38453,659064,211353,6415219
ZA,59308690,29216012,30092678,19408553,39149717,5635127,48.891,0.699,11585605,10409174,10141489,10155325,7043275,4911532,3164441,1476055,421794,2021-08-01,0,NA,0,NA,252455,7550367
ZM,18383956,9103006,9280950,9989317,7871713,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,2021-08-01,588,285288,4581,153597,5169,438885
