Player,Year,Season,Date,Age,Team,Location,Opponent,Win,PTS_TM,PTS_OPP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Michael Jordan,1995-1996,Regular,12/6/1995,32-292,CHI,Home,NYK,W ,101,94,1,45:00:00,8,27,0.296,0,0,,6,6,1,0,3,3,8,0,0,0,3,22,11.6
Michael Jordan,1995-1996,Regular,12/8/1995,32-294,CHI,Home,SAS,W ,106,87,1,36:00:00,11,23,0.478,0,1,0,6,6,1,1,4,5,6,3,1,1,4,28,23.5
Michael Jordan,1995-1996,Regular,12/9/1995,32-295,CHI,Away,MIL,W ,118,106,1,42:00:00,16,28,0.571,0,0,,13,16,0.813,3,2,5,4,2,0,2,3,45,34.9
Michael Jordan,1995-1996,Regular,12/13/1995,32-299,CHI,Home,ORL,W ,112,103,1,43:00:00,15,30,0.5,4,7,0.571,2,6,0.333,3,3,6,2,2,1,4,3,36,21.3
Michael Jordan,1995-1996,Regular,12/14/1995,32-300,CHI,Away,ATL,W ,127,108,1,31:00:00,8,16,0.5,1,4,0.25,5,5,1,1,2,3,1,0,0,3,3,22,11.8
Michael Jordan,1995-1996,Regular,12/16/1995,32-302,CHI,Home,LAL,W ,108,88,1,38:00:00,5,20,0.25,0,1,0,10,10,1,2,5,7,6,5,1,3,2,20,17
Michael Jordan,1995-1996,Regular,12/18/1995,32-304,CHI,Away,BOS,W ,123,114,1,40:00:00,16,27,0.593,0,1,0,5,8,0.625,0,6,6,3,5,0,2,2,37,29.4
Michael Jordan,1995-1996,Regular,12/19/1995,32-305,CHI,Home,DAL,W ,114,101,1,36:00:00,12,23,0.522,0,1,0,8,8,1,1,3,4,4,1,0,0,1,32,25.7
Michael Jordan,1995-1996,Regular,12/22/1995,32-308,CHI,Home,TOR,W ,113,104,1,40:00:00,9,19,0.474,2,3,0.667,7,7,1,3,7,10,5,3,0,2,1,27,25.6
Michael Jordan,1995-1996,Regular,12/23/1995,32-309,CHI,Home,UTA,W ,100,86,1,37:00:00,12,22,0.545,1,2,0.5,5,5,1,1,6,7,8,3,1,2,2,30,28.4
Michael Jordan,1995-1996,Regular,12/26/1995,32-312,CHI,Away,IND,L ,97,103,1,43:00:00,11,28,0.393,1,2,0.5,7,9,0.778,2,8,10,4,1,2,2,3,30,19.8
Michael Jordan,1995-1996,Regular,12/29/1995,32-315,CHI,Home,IND,W ,120,93,1,36:00:00,8,20,0.4,0,2,0,13,18,0.722,3,4,7,3,3,0,4,4,29,19
Michael Jordan,1995-1996,Regular,12/30/1995,32-316,CHI,Home,ATL,W ,95,93,1,42:00:00,14,27,0.519,1,2,0.5,4,6,0.667,2,5,7,6,4,1,5,3,33,24.5
Michael Jordan,1995-1996,Regular,1/3/1996,32-320,CHI,Home,HOU,W ,100,86,1,40:00:00,17,29,0.586,1,1,1,3,4,0.75,3,5,8,5,3,0,1,3,38,32
Michael Jordan,1995-1996,Regular,1/4/1996,32-321,CHI,Away,CHH,W ,117,93,1,34:00:00,11,20,0.55,0,1,0,5,7,0.714,1,4,5,5,1,0,1,1,27,21.6
Michael Jordan,1995-1996,Regular,1/6/1996,32-323,CHI,Home,MIL,W ,113,84,1,37:00:00,10,20,0.5,2,4,0.5,10,12,0.833,1,1,2,3,3,1,0,2,32,27.2
Michael Jordan,1995-1996,Regular,1/10/1996,32-327,CHI,Home,SEA,W ,113,87,1,36:00:00,14,25,0.56,1,2,0.5,6,7,0.857,1,13,14,5,0,1,4,2,35,26.7
Michael Jordan,1995-1996,Regular,1/13/1996,32-330,CHI,Away,PHI,W ,120,93,1,34:00:00,18,28,0.643,5,7,0.714,7,7,1,3,7,10,2,1,1,2,1,48,40.5
Michael Jordan,1995-1996,Regular,1/15/1996,32-332,CHI,Away,WSB,W ,116,109,1,39:00:00,16,31,0.516,3,7,0.429,11,11,1,0,4,4,2,1,0,5,5,46,27.3
Michael Jordan,1995-1996,Regular,1/16/1996,32-333,CHI,Home,PHI,W ,116,104,1,32:00:00,13,22,0.591,2,6,0.333,4,6,0.667,3,4,7,2,3,0,1,1,32,27.3
Michael Jordan,1995-1996,Regular,1/18/1996,32-335,CHI,Away,TOR,W ,92,89,1,43:00:00,14,28,0.5,4,8,0.5,6,8,0.75,4,5,9,2,1,0,1,0,38,28.9
Michael Jordan,1995-1996,Regular,1/21/1996,32-338,CHI,Away,DET,W ,111,96,1,43:00:00,12,23,0.522,3,5,0.6,9,11,0.818,3,5,8,4,2,1,3,1,36,29.6
Michael Jordan,1995-1996,Regular,1/23/1996,32-340,CHI,Away,NYK,W ,99,79,1,36:00:00,13,23,0.565,3,4,0.75,4,5,0.8,1,5,6,4,3,0,2,1,33,27.3
Michael Jordan,1995-1996,Regular,1/24/1996,32-341,CHI,Home,VAN,W ,104,84,1,26:00:00,4,10,0.4,0,1,0,4,6,0.667,1,2,3,6,0,0,1,4,12,8.7
Michael Jordan,1995-1996,Regular,1/26/1996,32-343,CHI,Home,MIA,W ,102,80,1,35:00:00,10,21,0.476,1,3,0.333,4,5,0.8,4,5,9,4,3,2,8,4,25,15.8
Michael Jordan,1995-1996,Regular,1/28/1996,32-345,CHI,Home,PHO,W ,93,82,1,42:00:00,13,25,0.52,0,2,0,5,7,0.714,3,3,6,6,3,1,2,5,31,24.8
Michael Jordan,1995-1996,Regular,1/30/1996,32-347,CHI,Away,HOU,W ,98,87,1,43:00:00,7,26,0.269,1,6,0.167,7,8,0.875,3,5,8,1,4,0,2,3,22,11.3
Michael Jordan,1995-1996,Regular,2/1/1996,32-349,CHI,Away,SAC,W ,105,85,1,38:00:00,7,16,0.438,0,1,0,13,14,0.929,0,2,2,1,2,1,4,4,27,16.6
Michael Jordan,1995-1996,Regular,2/2/1996,32-350,CHI,Away,LAL,W ,99,84,1,39:00:00,8,17,0.471,0,0,,1,1,1,3,4,7,7,1,0,3,2,17,13.7
Michael Jordan,1995-1996,Regular,2/4/1996,32-352,CHI,Away,DEN,L ,99,105,1,42:00:00,13,29,0.448,4,7,0.571,9,11,0.818,0,3,3,4,3,1,4,1,39,26.1
Michael Jordan,1995-1996,Regular,2/6/1996,32-354,CHI,Away,PHO,L ,96,106,1,40:00:00,9,22,0.409,0,2,0,10,17,0.588,2,0,2,6,3,0,3,5,28,17
Michael Jordan,1995-1996,Regular,2/7/1996,32-355,CHI,Away,GSW,W ,99,95,1,46:00:00,15,31,0.484,0,0,,10,13,0.769,6,5,11,6,3,2,2,3,40,34.2
Michael Jordan,1995-1996,Regular,2/13/1996,32-361,CHI,Home,WSB,W ,111,98,1,36:00:00,11,23,0.478,2,3,0.667,8,10,0.8,2,7,9,3,0,0,4,2,32,20.3
Michael Jordan,1995-1996,Regular,2/15/1996,32-363,CHI,Away,DET,W ,112,109,1,49:00:00,10,30,0.333,0,1,0,12,12,1,2,6,8,5,3,0,1,2,32,22.9
Michael Jordan,1995-1996,Regular,2/16/1996,32-364,CHI,Away,MIN,W ,103,100,1,38:00:00,13,23,0.565,4,4,1,5,5,1,1,6,7,4,0,1,2,1,35,27.7
Michael Jordan,1995-1996,Regular,2/18/1996,33-001,CHI,Away,IND,W ,110,102,1,42:00:00,16,29,0.552,3,4,0.75,9,10,0.9,4,1,5,7,3,2,3,2,44,38.3
Michael Jordan,1995-1996,Regular,2/20/1996,33-003,CHI,Home,CLE,W ,102,76,1,35:00:00,6,19,0.316,0,0,,2,3,0.667,3,6,9,6,0,0,0,3,14,9.6
Michael Jordan,1995-1996,Regular,2/22/1996,33-005,CHI,Away,ATL,W ,96,91,1,43:00:00,15,26,0.577,2,2,1,2,2,1,1,2,3,3,0,1,2,0,34,23.9
Michael Jordan,1995-1996,Regular,2/23/1996,33-006,CHI,Away,MIA,L ,104,113,1,40:00:00,9,21,0.429,1,4,0.25,12,13,0.923,3,6,9,5,4,0,3,4,31,26.3
Michael Jordan,1995-1996,Regular,2/25/1996,33-008,CHI,Home,ORL,W ,111,91,1,40:00:00,8,19,0.421,1,1,1,6,8,0.75,2,3,5,7,2,0,1,2,23,19.5
Michael Jordan,1995-1996,Regular,2/27/1996,33-010,CHI,Home,MIN,W ,120,99,1,41:00:00,11,24,0.458,2,3,0.667,11,12,0.917,2,4,6,7,2,0,1,2,35,29.9
Michael Jordan,1995-1996,Regular,3/1/1996,33-013,CHI,Home,GSW,W ,110,87,1,35:00:00,7,17,0.412,1,3,0.333,2,3,0.667,0,3,3,6,6,0,3,1,17,15.2
Michael Jordan,1995-1996,Regular,3/2/1996,33-014,CHI,Home,BOS,W ,107,75,1,32:00:00,8,15,0.533,0,2,0,5,8,0.625,3,5,8,8,4,1,1,0,21,25.4
Michael Jordan,1995-1996,Regular,3/5/1996,33-017,CHI,Home,MIL,W ,115,106,1,32:00:00,12,20,0.6,4,5,0.8,5,6,0.833,4,4,8,4,2,0,3,0,33,29.2
Michael Jordan,1995-1996,Regular,3/7/1996,33-019,CHI,Home,DET,W ,102,81,1,38:00:00,21,28,0.75,2,4,0.5,9,10,0.9,2,9,11,2,6,0,4,3,53,47.7
Michael Jordan,1995-1996,Regular,3/10/1996,33-022,CHI,Away,NYK,L ,72,104,1,43:00:00,12,26,0.462,2,4,0.5,6,7,0.857,1,7,8,3,1,1,7,3,32,16.6
Michael Jordan,1995-1996,Regular,3/13/1996,33-025,CHI,Home,WSB,W ,103,86,1,36:00:00,12,25,0.48,2,6,0.333,11,12,0.917,0,6,6,5,1,0,3,2,37,26.4
Michael Jordan,1995-1996,Regular,3/15/1996,33-027,CHI,Home,DEN,W ,108,87,1,36:00:00,14,22,0.636,3,5,0.6,2,3,0.667,0,6,6,3,3,2,3,2,33,27.3
Michael Jordan,1995-1996,Regular,3/16/1996,33-028,CHI,Away,NJN,W ,97,93,1,43:00:00,14,29,0.483,2,5,0.4,7,7,1,2,14,16,5,1,3,0,4,37,32.9
Michael Jordan,1995-1996,Regular,3/18/1996,33-030,CHI,Away,PHI,W ,98,94,1,47:00:00,15,32,0.469,0,5,0,8,10,0.8,2,9,11,4,1,0,2,5,38,24.7
Michael Jordan,1995-1996,Regular,3/19/1996,33-031,CHI,Home,SAC,W ,89,67,1,35:00:00,7,16,0.438,0,3,0,6,6,1,2,7,9,3,2,0,6,3,20,12
Michael Jordan,1995-1996,Regular,3/21/1996,33-033,CHI,Home,NYK,W ,107,86,1,37:00:00,14,24,0.583,1,4,0.25,7,7,1,0,11,11,5,1,0,1,3,36,30.4
Michael Jordan,1995-1996,Regular,3/24/1996,33-036,CHI,Away,TOR,L ,108,109,1,39:00:00,14,22,0.636,0,1,0,8,8,1,5,4,9,2,0,2,2,3,36,30.5
Michael Jordan,1995-1996,Regular,3/28/1996,33-040,CHI,Home,ATL,W ,111,80,1,30:00:00,5,12,0.417,0,1,0,3,6,0.5,0,5,5,7,1,1,0,3,13,12.3
Michael Jordan,1995-1996,Regular,3/30/1996,33-042,CHI,Home,LAC,W ,106,85,1,34:00:00,6,15,0.4,0,1,0,9,10,0.9,4,5,9,6,2,0,1,1,21,21.6
Michael Jordan,1995-1996,Regular,4/2/1996,33-045,CHI,Away,MIA,W ,110,92,1,37:00:00,11,23,0.478,2,3,0.667,8,8,1,1,7,8,3,2,0,1,4,32,24.6
Michael Jordan,1995-1996,Regular,4/4/1996,33-047,CHI,Home,MIA,W ,100,92,1,41:00:00,13,24,0.542,1,4,0.25,13,16,0.813,3,4,7,3,4,2,4,2,40,33.2
Michael Jordan,1995-1996,Regular,4/5/1996,33-048,CHI,Away,CHH,W ,126,92,1,28:00:00,10,16,0.625,2,2,1,2,3,0.667,0,5,5,4,3,0,3,0,24,20.7
Michael Jordan,1995-1996,Regular,4/7/1996,33-050,CHI,Away,ORL,W ,90,86,1,44:00:00,10,30,0.333,2,4,0.5,5,5,1,1,2,3,1,2,0,1,2,27,12.2
Michael Jordan,1995-1996,Regular,4/8/1996,33-051,CHI,Home,CHH,L ,97,98,1,42:00:00,13,27,0.481,1,3,0.333,13,19,0.684,4,7,11,5,1,0,1,2,40,31.5
Michael Jordan,1995-1996,Regular,4/11/1996,33-054,CHI,Away,NJN,W ,113,100,1,26:00:00,8,18,0.444,0,1,0,1,4,0.25,3,4,7,3,3,0,3,0,17,11.8
Michael Jordan,1995-1996,Regular,4/12/1996,33-055,CHI,Home,PHI,W ,112,82,1,29:00:00,10,16,0.625,2,4,0.5,1,1,1,2,1,3,0,4,1,2,2,23,19.4
Michael Jordan,1995-1996,Regular,4/14/1996,33-057,CHI,Away,CLE,W ,98,72,1,35:00:00,11,18,0.611,4,7,0.571,6,6,1,3,9,12,3,1,0,3,0,32,28.7
Michael Jordan,1995-1996,Regular,4/16/1996,33-059,CHI,Away,MIL,W ,86,80,1,42:00:00,9,27,0.333,1,4,0.25,3,4,0.75,1,8,9,4,2,1,4,1,22,10.5
Michael Jordan,1995-1996,Regular,4/18/1996,33-061,CHI,Home,DET,W ,110,79,1,24:00:00,11,18,0.611,4,5,0.8,4,4,1,1,4,5,1,1,0,2,1,30,23
Michael Jordan,1995-1996,Regular,4/20/1996,33-063,CHI,Home,IND,L ,99,100,1,31:00:00,9,23,0.391,2,5,0.4,4,5,0.8,0,2,2,6,1,1,3,4,24,13
Michael Jordan,1995-1996,Regular,4/21/1996,33-064,CHI,Away,WSB,W ,103,93,1,24:00:00,11,22,0.5,1,3,0.333,3,3,1,1,3,4,4,4,0,1,0,26,22.4
Michael Jordan,1996-1997,Regular,11/1/1996,33-258,CHI,Away,BOS,W ,107,98,1,43:27:00,10,22,0.455,0,5,0,10,13,0.769,1,3,4,3,0,0,1,2,30,19.3
Michael Jordan,1996-1997,Regular,11/2/1996,33-259,CHI,Home,PHI,W ,115,86,1,30:19:00,11,20,0.55,3,7,0.429,2,2,1,1,1,2,5,4,0,2,2,27,23.1
Michael Jordan,1996-1997,Regular,11/5/1996,33-262,CHI,Home,VAN,W ,96,73,1,31:24:00,9,18,0.5,3,5,0.6,1,1,1,2,5,7,3,4,0,4,2,22,17.2
Michael Jordan,1996-1997,Regular,11/6/1996,33-263,CHI,Away,MIA,W ,106,100,1,39:35:00,18,33,0.545,1,2,0.5,13,14,0.929,1,5,6,0,1,1,0,1,50,37.2
Michael Jordan,1996-1997,Regular,11/8/1996,33-265,CHI,Away,DET,W ,98,80,1,35:43:00,6,14,0.429,1,3,0.333,2,2,1,1,3,4,8,1,0,0,3,15,14.6
Michael Jordan,1996-1997,Regular,11/9/1996,33-266,CHI,Home,BOS,W ,104,92,1,31:35:00,10,23,0.435,0,2,0,7,11,0.636,2,1,3,3,1,0,0,2,27,17.3
Michael Jordan,1996-1997,Regular,11/11/1996,33-268,CHI,Home,PHO,W ,97,79,1,35:30:00,12,21,0.571,1,1,1,1,2,0.5,1,1,2,5,1,1,3,1,26,18.5
Michael Jordan,1996-1997,Regular,11/13/1996,33-270,CHI,Home,MIA,W ,103,71,1,33:38:00,8,23,0.348,0,1,0,12,16,0.75,1,4,5,3,1,0,0,3,28,17.3
Michael Jordan,1996-1997,Regular,11/15/1996,33-272,CHI,Away,CHH,W ,110,87,1,28:43:00,15,25,0.6,4,5,0.8,4,4,1,0,1,1,2,1,1,1,2,38,28.1
Michael Jordan,1996-1997,Regular,11/16/1996,33-273,CHI,Home,ATL,W ,97,69,1,35:09:00,11,23,0.478,0,1,0,3,4,0.75,0,5,5,3,1,0,2,2,25,14.7
Michael Jordan,1996-1997,Regular,11/20/1996,33-277,CHI,Away,PHO,W ,113,99,1,35:06:00,16,29,0.552,0,0,,5,6,0.833,1,3,4,4,1,1,2,3,37,25.6
Michael Jordan,1996-1997,Regular,11/21/1996,33-278,CHI,Away,DEN,W ,110,92,1,33:35:00,12,23,0.522,0,2,0,7,7,1,4,3,7,3,2,1,2,2,31,25.4
Michael Jordan,1996-1997,Regular,11/23/1996,33-280,CHI,Away,UTA,L ,100,105,1,39:25:00,17,32,0.531,0,6,0,10,12,0.833,1,5,6,4,2,1,2,3,44,32.1
Michael Jordan,1996-1997,Regular,11/25/1996,33-282,CHI,Away,LAC,W ,88,84,1,42:31:00,14,26,0.538,1,3,0.333,11,12,0.917,1,6,7,2,2,4,2,3,40,32.5
Michael Jordan,1996-1997,Regular,11/29/1996,33-286,CHI,Away,DAL,W ,116,97,1,39:48:00,13,23,0.565,4,5,0.8,6,6,1,0,7,7,4,2,0,2,1,36,29.6
Michael Jordan,1996-1997,Regular,11/30/1996,33-287,CHI,Away,SAS,W ,97,88,1,38:30:00,14,35,0.4,2,5,0.4,5,5,1,0,9,9,3,0,0,1,0,35,19.9
Michael Jordan,1996-1997,Regular,12/3/1996,33-290,CHI,Away,MIL,W ,107,104,1,41:13:00,13,27,0.481,0,0,,14,17,0.824,2,4,6,6,0,0,3,1,40,28.5
Michael Jordan,1996-1997,Regular,12/5/1996,33-292,CHI,Home,LAC,W ,114,96,1,31:25:00,9,21,0.429,0,3,0,2,3,0.667,1,3,4,6,2,0,1,3,20,14.1
Michael Jordan,1996-1997,Regular,12/7/1996,33-294,CHI,Home,MIA,L ,80,83,1,41:56:00,16,30,0.533,0,3,0,5,6,0.833,1,8,9,3,0,0,0,1,37,26.8
Michael Jordan,1996-1997,Regular,12/8/1996,33-295,CHI,Away,TOR,L ,89,97,1,40:42:00,5,17,0.294,1,4,0.25,2,2,1,0,9,9,8,2,2,3,1,13,11.4
Michael Jordan,1996-1997,Regular,12/11/1996,33-298,CHI,Home,MIN,W ,103,86,1,36:12:00,10,16,0.625,1,1,1,6,6,1,0,7,7,3,3,0,1,0,27,26
Michael Jordan,1996-1997,Regular,12/13/1996,33-300,CHI,Away,NJN,W ,113,92,1,33:59:00,9,19,0.474,3,5,0.6,11,12,0.917,0,6,6,6,4,0,1,2,32,30.1
Michael Jordan,1996-1997,Regular,12/14/1996,33-301,CHI,Home,CHH,W ,87,82,1,41:00:00,10,26,0.385,0,3,0,9,12,0.75,2,7,9,5,5,0,1,0,29,24.6
Michael Jordan,1996-1997,Regular,12/17/1996,33-304,CHI,Home,LAL,W ,129,123,1,47:08:00,10,32,0.313,0,2,0,10,14,0.714,5,4,9,3,1,1,2,2,30,15.7
Michael Jordan,1996-1997,Regular,12/19/1996,33-306,CHI,Away,CHH,W ,93,72,1,35:58:00,13,27,0.481,3,8,0.375,6,7,0.857,5,3,8,1,1,1,2,0,35,25.7
Michael Jordan,1996-1997,Regular,12/21/1996,33-308,CHI,Away,PHI,W ,111,105,1,43:52:00,12,29,0.414,1,3,0.333,6,8,0.75,0,1,1,3,1,1,1,4,31,16.2
Michael Jordan,1996-1997,Regular,12/23/1996,33-310,CHI,Home,NJN,W ,113,81,1,33:03:00,10,18,0.556,0,1,0,4,4,1,2,1,3,4,0,0,3,1,24,16.5
Michael Jordan,1996-1997,Regular,12/25/1996,33-312,CHI,Home,DET,W ,95,83,1,46:14:00,9,21,0.429,0,4,0,5,7,0.714,6,4,10,2,1,0,4,3,23,13.7
Michael Jordan,1996-1997,Regular,12/26/1996,33-313,CHI,Away,ATL,L ,103,108,1,39:30:00,10,25,0.4,2,5,0.4,12,13,0.923,0,3,3,1,2,1,0,2,34,23.6
Michael Jordan,1996-1997,Regular,12/28/1996,33-315,CHI,Home,CLE,W ,102,97,1,41:34:00,13,25,0.52,0,1,0,19,20,0.95,2,5,7,5,3,0,4,4,45,36.1
Michael Jordan,1996-1997,Regular,12/30/1996,33-317,CHI,Home,IND,W ,81,79,1,39:48:00,12,29,0.414,1,5,0.2,3,4,0.75,3,4,7,4,1,0,3,1,28,15.8
Michael Jordan,1996-1997,Regular,1/3/1997,33-321,CHI,Home,ORL,W ,110,89,1,35:05:00,10,18,0.556,0,2,0,2,2,1,1,3,4,6,2,1,2,2,22,19.1
Michael Jordan,1996-1997,Regular,1/6/1997,33-324,CHI,Home,UTA,W ,102,89,1,40:16:00,8,20,0.4,2,3,0.667,5,6,0.833,3,5,8,3,3,1,1,1,23,19.8
Michael Jordan,1996-1997,Regular,1/10/1997,33-328,CHI,Away,MIL,W ,116,101,1,38:11:00,11,23,0.478,3,4,0.75,8,13,0.615,1,4,5,3,0,0,0,2,33,22.5
Michael Jordan,1996-1997,Regular,1/11/1997,33-329,CHI,Home,HOU,W ,110,86,1,38:37:00,12,25,0.48,4,6,0.667,4,4,1,0,6,6,7,2,0,3,1,32,24.6
Michael Jordan,1996-1997,Regular,1/14/1997,33-332,CHI,Home,WSB,W ,108,107,1,39:43:00,14,27,0.519,0,4,0,11,11,1,0,2,2,2,2,0,0,3,39,28.5
Michael Jordan,1996-1997,Regular,1/15/1997,33-333,CHI,Away,MIN,W ,112,102,1,34:57:00,12,22,0.545,1,5,0.2,0,0,,1,2,3,4,1,1,3,2,25,16.4
Michael Jordan,1996-1997,Regular,1/17/1997,33-335,CHI,Home,MIL,W ,100,73,1,36:00:00,10,15,0.667,1,2,0.5,3,4,0.75,1,6,7,11,2,0,1,2,24,27.5
Michael Jordan,1996-1997,Regular,1/19/1997,33-337,CHI,Away,HOU,L ,86,102,1,43:23:00,8,25,0.32,1,6,0.167,9,9,1,3,11,14,5,1,1,1,0,26,21.3
Michael Jordan,1996-1997,Regular,1/21/1997,33-339,CHI,Home,NYK,W ,88,87,1,43:28:00,18,30,0.6,5,8,0.625,10,11,0.909,1,3,4,4,2,0,2,1,51,40.8
Michael Jordan,1996-1997,Regular,1/23/1997,33-341,CHI,Away,CLE,W ,87,71,1,38:58:00,10,24,0.417,1,5,0.2,11,12,0.917,1,8,9,0,1,0,4,2,32,18.1
Michael Jordan,1996-1997,Regular,1/25/1997,33-343,CHI,Home,TOR,W ,110,98,1,30:39:00,10,16,0.625,3,4,0.75,1,2,0.5,1,2,3,4,2,0,0,1,24,22.1
Michael Jordan,1996-1997,Regular,1/28/1997,33-346,CHI,Away,VAN,W ,111,96,1,32:09:00,12,19,0.632,1,3,0.333,3,4,0.75,1,3,4,3,4,0,2,1,28,24.4
Michael Jordan,1996-1997,Regular,1/30/1997,33-348,CHI,Away,SAC,W ,111,93,1,39:42:00,11,19,0.579,1,5,0.2,9,10,0.9,0,6,6,2,3,0,2,3,32,25.7
Michael Jordan,1996-1997,Regular,1/31/1997,33-349,CHI,Away,GSW,W ,115,92,1,32:17:00,8,17,0.471,1,6,0.167,1,1,1,0,4,4,8,3,0,2,2,18,16.3
Michael Jordan,1996-1997,Regular,2/2/1997,33-351,CHI,Away,SEA,W ,91,84,1,44:55:00,19,28,0.679,2,3,0.667,5,6,0.833,3,4,7,3,1,0,1,2,45,37.2
Michael Jordan,1996-1997,Regular,2/4/1997,33-353,CHI,Away,POR,W ,88,84,1,41:12:00,15,30,0.5,1,4,0.25,5,5,1,1,4,5,2,1,2,0,3,36,25.5
Michael Jordan,1996-1997,Regular,2/5/1997,33-354,CHI,Away,LAL,L ,90,106,1,39:26:00,10,24,0.417,2,5,0.4,5,6,0.833,1,3,4,4,1,1,2,1,27,17.5
Michael Jordan,1996-1997,Regular,2/11/1997,33-360,CHI,Home,CHH,W ,103,100,1,41:51:00,16,24,0.667,1,2,0.5,10,14,0.714,0,5,5,4,3,0,5,2,43,32.5
Michael Jordan,1996-1997,Regular,2/14/1997,33-363,CHI,Away,ATL,W ,89,88,1,45:22:00,13,28,0.464,1,2,0.5,3,5,0.6,3,5,8,4,2,0,4,0,30,19.2
Michael Jordan,1996-1997,Regular,2/16/1997,33-365,CHI,Home,ORL,W ,110,89,1,37:51:00,8,20,0.4,3,4,0.75,0,0,,1,7,8,10,4,0,2,3,19,18.8
Michael Jordan,1996-1997,Regular,2/18/1997,34-001,CHI,Home,DEN,W ,134,123,1,32:16:00,10,18,0.556,1,3,0.333,3,4,0.75,2,3,5,12,3,0,0,3,24,27.5
Michael Jordan,1996-1997,Regular,2/21/1997,34-004,CHI,Away,WSB,W ,103,99,1,45:15:00,13,28,0.464,3,4,0.75,7,12,0.583,1,3,4,4,1,0,2,2,36,22.2
Michael Jordan,1996-1997,Regular,2/22/1997,34-005,CHI,Home,GSW,W ,120,87,1,30:51:00,13,19,0.684,5,8,0.625,3,4,0.75,1,4,5,1,3,0,2,1,34,28.7
Michael Jordan,1996-1997,Regular,2/24/1997,34-007,CHI,Home,POR,W ,116,89,1,30:19:00,13,27,0.481,3,7,0.429,8,9,0.889,1,3,4,3,0,0,1,1,37,25.2
Michael Jordan,1996-1997,Regular,2/27/1997,34-010,CHI,Away,CLE,L ,70,73,1,43:08:00,7,25,0.28,0,3,0,9,9,1,1,7,8,4,0,0,2,2,23,11.1
Michael Jordan,1996-1997,Regular,2/28/1997,34-011,CHI,Home,SAC,W ,126,108,1,34:40:00,13,20,0.65,5,7,0.714,4,5,0.8,1,8,9,6,1,1,2,2,35,32
Michael Jordan,1996-1997,Regular,3/3/1997,34-014,CHI,Home,MIL,W ,108,90,1,36:00:00,11,19,0.579,3,7,0.429,6,6,1,0,3,3,6,2,0,2,2,31,26.4
Michael Jordan,1996-1997,Regular,3/5/1997,34-016,CHI,Home,SAS,W ,111,69,1,23:31,7,17,0.412,1,4,0.25,1,2,0.5,1,1,2,4,2,0,0,1,16,11.9
Michael Jordan,1996-1997,Regular,3/7/1997,34-018,CHI,Home,IND,W ,104,96,1,43:58:00,11,21,0.524,1,3,0.333,15,17,0.882,1,3,4,5,2,1,4,3,38,29.5
Michael Jordan,1996-1997,Regular,3/9/1997,34-020,CHI,Away,NYK,L ,93,97,1,46:06:00,14,31,0.452,0,3,0,8,9,0.889,2,4,6,4,1,0,1,2,36,24.1
Michael Jordan,1996-1997,Regular,3/11/1997,34-022,CHI,Away,BOS,W ,117,106,1,43:15:00,13,23,0.565,1,3,0.333,5,6,0.833,0,4,4,9,3,0,2,2,32,28.4
Michael Jordan,1996-1997,Regular,3/12/1997,34-023,CHI,Away,PHI,W ,108,104,1,37:04:00,9,24,0.375,1,4,0.25,4,5,0.8,0,5,5,3,2,1,4,2,23,10.9
Michael Jordan,1996-1997,Regular,3/14/1997,34-025,CHI,Away,NJN,L ,98,99,1,38:51:00,16,34,0.471,1,3,0.333,3,5,0.6,2,6,8,5,0,1,1,1,36,23.8
Michael Jordan,1996-1997,Regular,3/15/1997,34-026,CHI,Home,ATL,W ,99,79,1,28:56:00,5,11,0.455,0,1,0,0,0,,1,3,4,3,1,2,3,1,10,7
Michael Jordan,1996-1997,Regular,3/18/1997,34-029,CHI,Home,SEA,W ,89,87,1,50:25:00,10,28,0.357,0,4,0,12,13,0.923,8,10,18,2,0,0,8,3,32,16.8
Michael Jordan,1996-1997,Regular,3/21/1997,34-032,CHI,Away,IND,W ,117,98,1,40:24:00,11,25,0.44,1,3,0.333,13,14,0.929,4,2,6,4,2,1,2,0,36,29.4
Michael Jordan,1996-1997,Regular,3/22/1997,34-033,CHI,Home,DET,W ,103,88,1,34:58:00,8,20,0.4,3,6,0.5,4,4,1,2,3,5,7,2,1,0,3,23,20.9
Michael Jordan,1996-1997,Regular,3/25/1997,34-036,CHI,Home,DAL,W ,94,92,1,36:03:00,9,20,0.45,0,1,0,2,2,1,0,1,1,3,3,0,2,3,20,11.8
Michael Jordan,1996-1997,Regular,3/27/1997,34-038,CHI,Away,TOR,W ,96,83,1,41:28:00,5,17,0.294,0,0,,2,3,0.667,3,7,10,4,0,2,6,2,12,3.3
Michael Jordan,1996-1997,Regular,3/29/1997,34-040,CHI,Home,NJN,W ,111,101,1,38:36:00,9,21,0.429,1,2,0.5,2,3,0.667,2,4,6,10,0,2,0,3,21,19.3
Michael Jordan,1996-1997,Regular,4/1/1997,34-043,CHI,Home,BOS,W ,111,106,1,27:13:00,8,11,0.727,0,0,,5,9,0.556,0,8,8,2,2,0,2,1,21,18.3
