Player,Year,Season,Date,Age,Team,Location,Opponent,Win,PTS_TM,PTS_OPP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Michael Jordan,1987-1988,Regular,2/2/1988,24-350,CHI,Away,LAL,L ,101,110,1,40:00:00,14,26,0.538,0,0,,11,11,1,1,1,2,4,3,1,3,3,39,29.7
Michael Jordan,1987-1988,Regular,2/4/1988,24-352,CHI,Away,PHO,W ,113,101,1,37:00:00,14,27,0.519,0,1,0,9,11,0.818,1,4,5,8,0,1,0,1,37,30.7
Michael Jordan,1987-1988,Regular,2/9/1988,24-357,CHI,Home,DET,L ,74,89,1,42:00:00,7,22,0.318,0,0,,6,8,0.75,1,6,7,9,4,0,2,4,20,15.8
Michael Jordan,1987-1988,Regular,2/10/1988,24-358,CHI,Away,NJN,L ,84,93,1,37:00:00,10,23,0.435,0,2,0,14,15,0.933,2,2,4,4,1,3,3,3,34,25.2
Michael Jordan,1987-1988,Regular,2/12/1988,24-360,CHI,Away,MIL,W ,95,93,1,43:00:00,9,19,0.474,0,1,0,9,10,0.9,0,6,6,8,0,0,3,3,27,20.1
Michael Jordan,1987-1988,Regular,2/13/1988,24-361,CHI,Away,DET,L ,73,82,1,40:00:00,9,22,0.409,0,1,0,9,10,0.9,0,2,2,2,3,2,4,0,27,17.2
Michael Jordan,1987-1988,Regular,2/15/1988,24-363,CHI,Home,ATL,W ,126,107,1,38:00:00,13,22,0.591,0,0,,6,8,0.75,3,10,13,8,5,2,2,2,32,35.3
Michael Jordan,1987-1988,Regular,2/19/1988,25-002,CHI,Home,SAC,W ,111,90,1,38:00:00,19,27,0.704,0,0,,11,14,0.786,2,1,3,3,3,3,5,2,49,39.6
Michael Jordan,1987-1988,Regular,2/21/1988,25-004,CHI,Away,CLE,L ,111,113,1,45:00:00,16,31,0.516,0,2,0,14,15,0.933,1,3,4,9,3,1,3,3,46,37.7
Michael Jordan,1987-1988,Regular,2/23/1988,25-006,CHI,Home,SEA,W ,104,97,1,48:00:00,11,29,0.379,0,0,,17,20,0.85,2,7,9,5,4,2,0,4,39,32.7
Michael Jordan,1987-1988,Regular,2/26/1988,25-009,CHI,Home,POR,L ,96,104,1,43:00:00,21,34,0.618,0,2,0,10,12,0.833,2,6,8,3,2,3,6,5,52,37.2
Michael Jordan,1987-1988,Regular,2/27/1988,25-010,CHI,Home,MIL,L ,91,94,1,44:00:00,16,27,0.593,0,0,,6,8,0.75,1,1,2,3,3,3,3,5,38,27.9
Michael Jordan,1987-1988,Regular,2/29/1988,25-012,CHI,Away,PHI,L ,101,102,1,46:00:00,13,22,0.591,0,0,,9,13,0.692,1,4,5,4,2,0,3,1,35,26.5
Michael Jordan,1987-1988,Regular,3/3/1988,25-015,CHI,Home,PHI,W ,97,93,1,41:00:00,15,29,0.517,0,0,,6,9,0.667,0,10,10,7,3,2,5,4,36,26.2
Michael Jordan,1987-1988,Regular,3/5/1988,25-017,CHI,Home,LAC,W ,100,76,1,27:00:00,9,13,0.692,0,0,,3,4,0.75,0,6,6,4,4,2,2,2,21,22.3
Michael Jordan,1987-1988,Regular,3/7/1988,25-019,CHI,Away,NYK,L ,98,110,1,44:00:00,12,24,0.5,0,2,0,14,16,0.875,1,9,10,3,1,0,4,4,38,26.1
Michael Jordan,1987-1988,Regular,3/10/1988,25-022,CHI,Home,LAL,W ,128,107,1,42:00:00,17,34,0.5,0,1,0,4,4,1,5,4,9,7,3,1,2,2,38,31.5
Michael Jordan,1987-1988,Regular,3/12/1988,25-024,CHI,Home,SAS,W ,112,92,1,34:00:00,9,22,0.409,0,0,,10,12,0.833,3,4,7,6,0,0,2,2,28,20.1
Michael Jordan,1987-1988,Regular,3/15/1988,25-027,CHI,Home,CLE,W ,108,89,1,37:00:00,17,29,0.586,0,0,,4,7,0.571,4,2,6,1,2,1,2,2,38,27.3
Michael Jordan,1987-1988,Regular,3/16/1988,25-028,CHI,Away,WSB,L ,103,106,1,39:00:00,10,23,0.435,0,0,,5,5,1,3,1,4,5,0,2,3,2,25,16.4
Michael Jordan,1987-1988,Regular,3/18/1988,25-030,CHI,Home,BOS,W ,113,103,1,42:00:00,19,32,0.594,1,2,0.5,11,11,1,2,3,5,9,5,1,1,4,50,46.9
Michael Jordan,1987-1988,Regular,3/20/1988,25-032,CHI,Away,BOS,L ,107,137,1,39:00:00,10,18,0.556,0,0,,6,8,0.75,0,4,4,7,1,1,5,4,26,17.8
Michael Jordan,1987-1988,Regular,3/23/1988,25-035,CHI,Away,PHI,W ,118,102,1,42:00:00,20,35,0.571,0,1,0,9,12,0.75,5,8,13,2,0,2,0,4,49,38.4
Michael Jordan,1987-1988,Regular,3/25/1988,25-037,CHI,Away,CLE,W ,111,110,1,48:00:00,14,29,0.483,0,0,,11,13,0.846,2,6,8,7,2,4,3,3,39,32.2
Michael Jordan,1987-1988,Regular,3/26/1988,25-038,CHI,Home,IND,W ,109,100,1,42:00:00,16,27,0.593,0,2,0,6,9,0.667,0,3,3,2,3,4,6,2,38,25.6
Michael Jordan,1987-1988,Regular,3/29/1988,25-041,CHI,Away,SEA,L ,103,106,1,42:00:00,8,17,0.471,0,0,,10,12,0.833,1,3,4,4,2,2,6,3,26,17.1
Michael Jordan,1987-1988,Regular,3/30/1988,25-042,CHI,Away,LAC,W ,111,94,1,34:00:00,15,25,0.6,0,0,,6,6,1,2,4,6,4,6,0,2,3,36,32.7
Michael Jordan,1987-1988,Regular,4/1/1988,25-044,CHI,Away,POR,W ,116,101,1,42:00:00,13,30,0.433,1,2,0.5,11,13,0.846,4,7,11,7,3,0,3,5,38,29.2
